=== Class Histogram (HotSpot DiagnosticCommand) ===
Platform  : JDK=17 vendor=Oracle Corporation vm=Java HotSpot(TM) 64-Bit Server VM pid=52983 graalNative=false j9=false
Process   : 52983@kr15py
Time      : Wed Sep 16 11:29:41 AEST 2026

 num     #instances         #bytes  class name (module)
 187:            19            456  java.lang.RuntimePermission (java.base@17.0.15)
 188:            14            448  com.sun.tools.javac.jvm.ClassFile$Version (jdk.compiler@17.0.15)
 189:             7            448  java.net.URL (java.base@17.0.15)
 190:            14            448  java.util.RegularEnumSet (java.base@17.0.15)
 191:             8            448  sun.management.MemoryPoolImpl (java.management@17.0.15)
 192:            20            440  [Ljavax.management.MBeanNotificationInfo; (java.management@17.0.15)
 193:             2            432  [Lcom.sun.tools.javac.code.TargetType; (jdk.compiler@17.0.15)
 194:             1            432  [[[C (java.base@17.0.15)
 195:             9            432  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@17.0.15)
 196:            18            432  java.text.DateFormat$Field (java.base@17.0.15)
 197:            18            432  javax.lang.model.SourceVersion (java.compiler@17.0.15)
 198:            18            432  javax.management.StandardMBean (java.management@17.0.15)
 199:            18            432  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@17.0.15)
 200:            18            432  sun.reflect.generics.scope.MethodScope (java.base@17.0.15)
 201:            13            416  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@17.0.15)
 202:            13            416  java.net.Inet6Address$Inet6AddressHolder (java.base@17.0.15)
 203:            13            416  sun.nio.fs.UnixPath (java.base@17.0.15)
 204:            17            408  com.sun.tools.javac.code.Kinds$KindName (jdk.compiler@17.0.15)
 205:            17            408  java.time.Duration (java.base@17.0.15)
 206:            10            400  java.lang.invoke.DirectMethodHandle$Interface (java.base@17.0.15)
 207:            10            400  java.util.ResourceBundle$BundleReference (java.base@17.0.15)
 208:             2            392  [Ljava.time.ZoneOffset; (java.base@17.0.15)
 209:            16            384  com.sun.tools.javac.code.Source (jdk.compiler@17.0.15)
 210:            12            384  java.util.logging.LogManager$LogNode (java.logging@17.0.15)
 211:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@17.0.15)
 212:             1            376  java.util.logging.LogManager$Cleaner (java.logging@17.0.15)
 213:             1            376  jdk.internal.misc.InnocuousThread (java.base@17.0.15)
 214:             4            368  [D (java.base@17.0.15)
 215:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@17.0.15)
 216:             9            360  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@17.0.15)
 217:            21            360  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@17.0.15)
 218:             9            360  java.lang.OutOfMemoryError (java.base@17.0.15)
 219:             9            360  jdk.internal.logger.LazyLoggers$LazyLoggerAccessor (java.base@17.0.15)
 220:             9            360  sun.util.resources.Bundles$BundleReference (java.base@17.0.15)
 221:             8            352  [Ljava.lang.invoke.MethodType; (java.base@17.0.15)
 222:            21            352  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@17.0.15)
 223:             6            336  java.nio.DirectLongBufferU (java.base@17.0.15)
 224:            18            328  [Lsun.reflect.generics.tree.TypeSignature; (java.base@17.0.15)
 225:             8            320  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@17.0.15)
 226:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@17.0.15)
 227:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@17.0.15)
 228:            17            312  [Ljavax.management.MBeanConstructorInfo; (java.management@17.0.15)
 229:            13            312  java.net.Inet6Address (java.base@17.0.15)
 230:            13            312  javax.tools.StandardLocation (java.compiler@17.0.15)
 231:             6            304  [Ljava.util.Hashtable$Entry; (java.base@17.0.15)
 232:             2            288  [Lcom.sun.tools.javac.code.Lint$LintCategory; (jdk.compiler@17.0.15)
 233:             1            288  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@17.0.15)
 234:             9            288  java.lang.Package (java.base@17.0.15)
 235:            12            288  java.time.Month (java.base@17.0.15)
 236:             9            288  java.util.Collections$UnmodifiableMap (java.base@17.0.15)
 237:             6            288  java.util.Hashtable (java.base@17.0.15)
 238:             9            288  java.util.Hashtable$Entry (java.base@17.0.15)
 239:             9            288  java.util.logging.Level (java.logging@17.0.15)
 240:             9            288  java.util.logging.Level$KnownLevel (java.logging@17.0.15)
 241:             9            288  javax.management.MBeanNotificationInfo (java.management@17.0.15)
 242:             9            288  jdk.internal.org.objectweb.asm.Type (java.base@17.0.15)
